,cases,deaths,countryterritoryCode
1623,94.0,,BEL
1624,64.0,,BEL
1625,27.0,1.0,BEL
1626,110.0,,BEL
1627,81.0,,BEL
1628,53.0,,BEL
1629,34.0,,BEL
1630,19.0,,BEL
1631,19.0,,BEL
2142,1046.0,110.0,BGR
2143,1729.0,154.0,BGR
2144,1438.0,87.0,BGR
2145,337.0,41.0,BGR
2146,332.0,50.0,BGR
2147,469.0,50.0,BGR
2148,257.0,45.0,BGR
2149,772.0,99.0,BGR
2150,1615.0,114.0,BGR
2151,1799.0,156.0,BGR
2152,1277.0,58.0,BGR
2153,166.0,55.0,BGR
2154,1002.0,157.0,BGR
2155,1739.0,143.0,BGR
2156,2042.0,191.0,BGR
2157,1959.0,167.0,BGR
2158,2743.0,150.0,BGR
2159,2095.0,62.0,BGR
2160,497.0,64.0,BGR
2161,1287.0,157.0,BGR
2162,3097.0,122.0,BGR
2163,3075.0,127.0,BGR
2164,3328.0,146.0,BGR
2165,3980.0,213.0,BGR
2166,2764.0,68.0,BGR
2167,577.0,79.0,BGR
2168,2037.0,147.0,BGR
2169,3614.0,156.0,BGR
2170,3280.0,159.0,BGR
2171,3138.0,153.0,BGR
2172,3475.0,221.0,BGR
2173,2814.0,65.0,BGR
2174,739.0,69.0,BGR
2175,1792.0,151.0,BGR
2176,3327.0,162.0,BGR
2177,3568.0,141.0,BGR
2178,3712.0,157.0,BGR
2179,4382.0,189.0,BGR
2180,3146.0,60.0,BGR
2181,1123.0,42.0,BGR
2182,2279.0,129.0,BGR
2183,3983.0,119.0,BGR
2184,3899.0,117.0,BGR
2185,3938.0,131.0,BGR
2186,4828.0,152.0,BGR
2187,3519.0,39.0,BGR
2188,816.0,36.0,BGR
2189,2498.0,85.0,BGR
2190,4212.0,72.0,BGR
2191,3414.0,47.0,BGR
2192,3945.0,80.0,BGR
2193,4390.0,106.0,BGR
2194,3816.0,33.0,BGR
2195,675.0,56.0,BGR
2196,2301.0,58.0,BGR
2197,3839.0,52.0,BGR
2198,3754.0,54.0,BGR
2199,4054.0,63.0,BGR
2200,4041.0,51.0,BGR
2201,2427.0,19.0,BGR
2202,1225.0,25.0,BGR
2203,1803.0,29.0,BGR
2204,2891.0,28.0,BGR
2205,2689.0,36.0,BGR
2206,2760.0,25.0,BGR
2207,2569.0,42.0,BGR
2208,2243.0,10.0,BGR
2209,327.0,7.0,BGR
2210,1043.0,13.0,BGR
2211,1589.0,16.0,BGR
2212,1595.0,29.0,BGR
2213,1472.0,11.0,BGR
2214,1336.0,22.0,BGR
2215,1024.0,18.0,BGR
2216,395.0,10.0,BGR
2217,603.0,14.0,BGR
2218,998.0,15.0,BGR
2219,914.0,6.0,BGR
2220,819.0,8.0,BGR
2221,785.0,23.0,BGR
2222,587.0,1.0,BGR
2223,83.0,4.0,BGR
2224,448.0,7.0,BGR
2225,612.0,7.0,BGR
2226,516.0,11.0,BGR
2227,437.0,8.0,BGR
2228,436.0,10.0,BGR
2229,283.0,3.0,BGR
2230,69.0,3.0,BGR
2231,182.0,6.0,BGR
2232,240.0,7.0,BGR
2233,263.0,12.0,BGR
2234,286.0,6.0,BGR
2235,276.0,11.0,BGR
2236,216.0,7.0,BGR
2237,58.0,0.0,BGR
2238,169.0,4.0,BGR
2239,255.0,6.0,BGR
2240,290.0,12.0,BGR
2241,160.0,2.0,BGR
2242,109.0,4.0,BGR
2243,151.0,6.0,BGR
2244,44.0,2.0,BGR
2245,86.0,4.0,BGR
2246,189.0,10.0,BGR
2247,154.0,3.0,BGR
2248,174.0,7.0,BGR
