,cases,deaths,countryterritoryCode
914,10634.0,33.0,BEL
915,11571.0,42.0,BEL
916,16500.0,52.0,BEL
917,4850.0,38.0,BEL
918,6770.0,38.0,BEL
919,12209.0,46.0,BEL
920,14224.0,67.0,BEL
921,16808.0,55.0,BEL
922,19444.0,48.0,BEL
923,27430.0,35.0,BEL
924,7305.0,40.0,BEL
925,12501.0,36.0,BEL
926,22420.0,61.0,BEL
927,25893.0,46.0,BEL
928,30900.0,49.0,BEL
929,36783.0,40.0,BEL
930,50096.0,29.0,BEL
931,13246.0,37.0,BEL
932,23223.0,27.0,BEL
933,41456.0,45.0,BEL
934,47548.0,29.0,BEL
935,54793.0,32.0,BEL
936,62543.0,37.0,BEL
937,76034.0,26.0,BEL
938,20750.0,16.0,BEL
939,32797.0,26.0,BEL
940,56456.0,23.0,BEL
941,57284.0,17.0,BEL
942,60922.0,38.0,BEL
943,60743.0,28.0,BEL
944,62738.0,32.0,BEL
945,14998.0,20.0,BEL
946,21184.0,14.0,BEL
947,31860.0,17.0,BEL
948,30114.0,21.0,BEL
949,31164.0,23.0,BEL
950,31714.0,24.0,BEL
951,37776.0,25.0,BEL
952,11228.0,23.0,BEL
953,15350.0,17.0,BEL
954,23808.0,19.0,BEL
955,23665.0,19.0,BEL
956,26048.0,14.0,BEL
957,28141.0,17.0,BEL
958,27581.0,25.0,BEL
959,9092.0,15.0,BEL
960,4070.0,22.0,BEL
961,12297.0,16.0,BEL
962,16062.0,29.0,BEL
963,15046.0,34.0,BEL
964,12819.0,21.0,BEL
965,13298.0,28.0,BEL
966,4567.0,22.0,BEL
967,2819.0,20.0,BEL
968,6523.0,35.0,BEL
969,7525.0,36.0,BEL
970,7392.0,37.0,BEL
971,7380.0,36.0,BEL
972,9121.0,36.0,BEL
973,2850.0,38.0,BEL
974,4753.0,36.0,BEL
975,7745.0,26.0,BEL
976,8110.0,37.0,BEL
977,9284.0,41.0,BEL
978,10584.0,37.0,BEL
979,13885.0,43.0,BEL
980,3907.0,44.0,BEL
981,7112.0,45.0,BEL
982,13103.0,48.0,BEL
983,13437.0,35.0,BEL
984,15081.0,55.0,BEL
985,15681.0,49.0,BEL
986,20741.0,39.0,BEL
987,5978.0,57.0,BEL
988,9637.0,45.0,BEL
989,17769.0,48.0,BEL
990,18330.0,53.0,BEL
991,19670.0,43.0,BEL
992,20869.0,61.0,BEL
993,25209.0,45.0,BEL
994,7072.0,47.0,BEL
995,11590.0,48.0,BEL
996,20045.0,40.0,BEL
997,20231.0,44.0,BEL
998,20175.0,49.0,BEL
999,21139.0,38.0,BEL
1000,25625.0,35.0,BEL
1001,6754.0,36.0,BEL
1002,11215.0,36.0,BEL
1003,19151.0,33.0,BEL
1004,18574.0,43.0,BEL
1005,18148.0,42.0,BEL
1006,18431.0,29.0,BEL
1007,20838.0,46.0,BEL
1008,5506.0,27.0,BEL
1009,8364.0,20.0,BEL
1010,13752.0,39.0,BEL
1011,5055.0,32.0,BEL
1012,12751.0,26.0,BEL
1013,13017.0,27.0,BEL
1014,15267.0,28.0,BEL
1015,4073.0,15.0,BEL
1016,6454.0,30.0,BEL
1017,11143.0,25.0,BEL
1018,10183.0,26.0,BEL
1019,10706.0,17.0,BEL
1020,11715.0,20.0,BEL
1021,3582.0,25.0,BEL
1022,3059.0,18.0,BEL
1023,4972.0,16.0,BEL
1024,9290.0,21.0,BEL
1025,9196.0,18.0,BEL
1026,9225.0,33.0,BEL
1027,9401.0,27.0,BEL
1028,9703.0,18.0,BEL
1029,2450.0,16.0,BEL
1030,4090.0,20.0,BEL
1031,7149.0,18.0,BEL
1032,6906.0,10.0,BEL
1033,6552.0,14.0,BEL
1034,6296.0,13.0,BEL
1035,6570.0,19.0,BEL
1036,1490.0,10.0,BEL
1037,2376.0,14.0,BEL
1038,4168.0,18.0,BEL
1039,3890.0,10.0,BEL
1040,3597.0,8.0,BEL
